t [s],# of events
1,77324.85433
2,76801.16107
3,77963.023
4,78492.6562
5,78712.35234
6,80111.50163
7,79300.62153
8,80456.3921
9,81818.69904
10,82364.68523
11,83320.81175
12,82979.92865
13,84052.35601
14,85882.97466
15,85507.32568
16,87302.71675
17,89278.33253
18,89074.34483
19,90874.01717
20,92891.79703
21,93978.38742
22,96046.78853
23,97229.29882
24,98297.46466
25,99857.96721
26,103879.4361
27,104874.1809
28,108524.8326
29,111385.8937
30,113061.1956
31,117668.2698
32,119686.6462
33,124002.0949
34,127617.8373
35,133419.7571
36,137488.6473
37,141250.5335
38,147129.1157
39,152551.3718
40,158757.3611
41,164137.2648
42,169357.6886
43,176143.2487
44,181734.4501
45,187006.8672
46,193673.6487
47,198987.4094
48,203976.6699
49,208508.1841
50,213888.787
51,218727.7829
52,221868.2973
53,225568.1796
54,230691.5468
55,232686.3265
56,238085.7017
57,242500.2127
58,249773.5328
59,258657.1121
60,269217.624
61,284922.8579
62,306372.319
63,329031.527
64,354771.5678
65,383996.4106
66,408520.5877
67,431261.5212
68,446179.2144
69,452109.119
70,448807.967
71,435768.1369
72,414584.7462
73,391066.8602
74,363971.4487
75,336087.9602
76,313426.5996
77,291563.706
78,277273.2297
79,265606.1968
80,258324.8319
81,255468.5212
82,252782.2047
83,253401.6968
84,256347.9782
85,257577.8729
86,261425.1578
87,263500.8727
88,266960.1702
