Map 1,Map 2,,
"21,54065923","21,80140949",,
"16,64331698","57,26477373",,
"20,24845673","69,77514057",, 
4,90,,
15,0,,
"20,51828453","46,97493401",,
20,0,,
"8,062257748","7,125016349",,
"22,56102835","12,80426607",,
20,90,,
"9,433981132","32,00538321",,
13,0,,
"19,02629759","86,9872125",,
9,90,,
6,0,,
"21,54065923","21,80140949",,
5,0,,
"25,23885893","33,69006753",,
"23,76972865","67,75097634",,
"18,68154169","74,475889",,
"19,6468827","14,74356284",,
23,90,,
"18,68154169","74,475889",,
5,0,,
1,0,,
"13,03840481","4,398705355",,
"8,544003745","69,44395478",,
"16,64331698","57,26477373",,
5,0,,
"24,35159132","19,17900803",,
"18,68154169","74,475889",,
5,0,,
"22,56102835","77,19573393",,
"18,68154169","74,475889",,
25,0,,
"16,03121954","3,576334375",,
"26,90724809","48,0127875",,
8,90,,
"19,02629759","86,9872125",,
1,90,,
21,90,,
"19,6468827","14,74356284",,
"21,84032967","74,0546041",,
12,0,,
"21,84032967","74,0546041",,
"14,31782106","12,09475708",,
"21,9317122","24,22774532",,
"20,51828453","43,02506599",,
27,0,,
"24,35159132","19,17900803",,
"20,02498439","87,13759477",,
9,90,,
19,0,,
"21,54065923","21,80140949",,
5,0,,
"21,84032967","74,0546041",,
"14,31782106","12,09475708",,
"21,9317122","24,22774532",,
"20,51828453","43,02506599",,
15,90,,
6,0,,
1,0,,
"7,071067812","8,130102354",,
"12,04159458","4,763641691",,
"34,6554469","46,16913933",,
27,0,,
9,0,,
"15,5241747","75,06858282",,
14,90,,
25,"53,13010235",,
11,90,,
"20,51828453","46,97493401",,
23,0,,
"10,81665383","33,69006753",,
15,90,,
"27,65863337","40,60129465",,
12,90,,
"10,81665383","33,69006753",,
5,0,,
"8,062257748","7,125016349",,
19,0,,
"21,9317122","65,77225468",,
1,90,,
"14,56021978","15,9453959",,
9,90,,
4,90,,
15,0,,
"20,51828453","46,97493401",,
20,0,,
"19,6468827","14,74356284",,
5,0,,
"21,54065923","21,80140949",,
"20,02498439","87,13759477",,
9,90,,
20,0,,
"13,03840481","4,398705355",,
"28,28427125",45,,
"18,68154169","74,475889",,
"33,01514804","54,86580694",,
23,90,,
"8,062257748","7,125016349",,
20,0,,
"15,5241747","75,06858282",,
"19,6468827","75,25643716",,
13,90,,
"20,02498439","87,13759477",,
"20,61552813","14,03624347",,
18,0,,
"21,02379604","64,65382406",,
20,90,,
"8,062257748","7,125016349",,
20,0,,
"23,53720459","12,26477373",,
1,90,,
"18,68154169","15,524111",,
1,90,,
16,90,,
"18,02775638","86,82016988",,
"33,60059523","53,47114463",,
12,90,,
"14,2126704","50,71059314",,
5,0,,
1,0,,
"21,54065923","21,80140949",,
"18,68154169","15,524111",,
"4,123105626","75,96375653",,
9,90,,
14,0,,
1,0,,
"12,36931688","75,96375653",,
25,"53,13010235",,
8,0,,
"23,43074903","50,19442891",,
1,90,,
7,90,,
"18,02775638","3,17983012",,
"26,87005769",45,,
2,90,,
"12,04159458","4,763641691",,
"6,403124237","51,34019175",,
9,90,,
14,0,,
1,0,,
"10,81665383","56,30993247",,
13,"67,38013505",,
"27,29468813","81,57303098",,
9,90,,
20,0,,
"21,02379604","64,65382406",,
1,90,,
"14,56021978","15,9453959",,
23,90,,
5,0,,
"18,02775638","86,82016988",,
"27,45906044","79,50852299",,
23,90,,
"8,062257748","7,125016349",,
20,0,,
"23,53720459","12,26477373",,
4,90,,
15,0,,
"21,02379604","64,65382406",,
12,90,,
"14,2126704","50,71059314",,
5,0,,
"24,69817807","21,37062227",,
"14,56021978","15,9453959",,
2,90,,
"19,20937271","51,34019175",,
"24,69817807","21,37062227",,
"15,65247584","26,56505118",,
15,90,,
14,0,,
"21,54065923","21,80140949",,
5,0,,
"19,31320792","68,74949449",,
"19,02629759","86,9872125",,
"33,01514804","54,86580694",,
